category	text																										
Non-anti-LGBT+ content	Thirunangaikku. Job iruntha avanga yean picha edukka poranga and matter ku poga poranga friends.... Namma society Thirunangai ya use panna mattum than pakkuthu, support pannala. Avangalum nammala mathri human being than.... Oru silla unmaiya na Thirunangai um irukkan ga.... Intha video la avanga yean thitturanga... Antha video la irunthu podama... Avanga thitturathu mattum podurarhu nalla thu illa....																										
Non-anti-LGBT+ content	(1) adultery (marriage aana apram mathavanga kooda relationship) support panni avanga edhum sollave illaye (2) age of consent innum maarala avanga pesnadhu ellame adults ku idaila dhan (3) animals pesura baashai namakku puriyadhu ji so animals mela namma affection vaikalam adhu namma mela affection vaikalam but animals ku sex ku consent solra alavuku arivilla, unlike humans. Edit: Porakkuradhu edho reproduce panradhukku dhan nu solreenga! But have u looked at the recent population status? Pirandhadhu manidha inathirku / ulagathuku edhachum useful ah irukkuradhuku not fr multiplication!																										
Non-anti-LGBT+ content	Jai nanbaa super nanbaa																										
Non-anti-LGBT+ content	Ithu Original prank aaa..	 Training koduthu Pesra maari theriyuthu lightaa....	 	 But	 	 Semmayaa iruku 😘😘																					
Non-anti-LGBT+ content	Vera leval ya																										
Non-anti-LGBT+ content	super love you so much💗💗																										
Non-anti-LGBT+ content	Ivangale paathaa mathippaa irukk naan paarthathilaye romba azhagaana person manass ivanga thaa nnu manasaara solgiren																										
Non-anti-LGBT+ content	Bro vera Laval 👍👍👍																										
Non-anti-LGBT+ content	Dis like pottavala Otha manasa janmam daww 😡😡😡																										
Non-anti-LGBT+ content	Nee madu rathna unakku thariyumla																										
Non-anti-LGBT+ content	Moodra thyoli serupu pinchrum																										
Non-anti-LGBT+ content	Thirunagai vetchu eni mel prank venda namala mathiri avaga life ila pathu nadathukoga																										
Non-anti-LGBT+ content	i don't like ur speech																										
Non-anti-LGBT+ content	Aei.  Loosu..un ishtathuku pesathay																										
Non-anti-LGBT+ content	Ivanga entha movila ullavanga																										
Non-anti-LGBT+ content	Ayyo appaa alugaye varudhu 😕																										
Non-anti-LGBT+ content	Bro na ipo gugai la dhan irukken neenga enga irukinga																										
Non-anti-LGBT+ content	Super movie really my heart melting this movie but society Ku ithu epdi erukum nu therla avanga avangaloda culture and gowravam dha mukiyamo thavira manishangaluku oru malum mathipu kuduthathila sir manishana manishangala patha dhana mansula neriya kupaya vachita kanda nai la kevalama pesuranga avangalum sariya vaza matanga aduthuvangaliyum vaza Vida matanga ena oru mangeta sosity cast kadhi matham inam mozhi ithu elathiyum kadanthathu dhan kathal love yar mela venumnalum varlam that's nature pleas mathavangla unga commands la kaya paduthathinga love is not boundry																										
Non-anti-LGBT+ content	Fun panu ana romba pannatha..adutha video pakanuna koinjam neeta panu..																										
Non-anti-LGBT+ content	Super  akka 😍😍😍																										
Non-anti-LGBT+ content	Part 2 nu subscribe a alayavidathinga da sikram podunga da																										
Non-anti-LGBT+ content	@NATPU SIRAI.  🙏																										
Non-anti-LGBT+ content	Super Anna 👌																										
Non-anti-LGBT+ content	Entha oorula nee busla unkita amt pudungunanga tirupur la apdi ellm kitaiyathu																										
Non-anti-LGBT+ content	Neega Panna prank la idhu tha  super Vera level bro																										
Non-anti-LGBT+ content	Jailla putichi potuga sir																										
Homophobic	Unna solli thappu ilama ipdi oru padaipa ulagathuku kodutharu pathiya avara solanum...pls god innum evlo kevalam intha ulagathla nadakanum plsssss destroy this world																										
Non-anti-LGBT+ content	Ipo ena padikera																										
Non-anti-LGBT+ content	Elaru kitayumada prank panringa																										
Non-anti-LGBT+ content	Entha padathula nadichanga																										
Non-anti-LGBT+ content	Hi அக்கா I like your voice 👍																										
Homophobic	Emma ne sapadula samparuku bathila saniya oothi sapduviya																										
Non-anti-LGBT+ content	Yes enna solradhu 🤦🏻																										
Non-anti-LGBT+ content	Envaga va vara level amma																										
Non-anti-LGBT+ content	Uanmailaiye naan partha prank video la rompa rompa best video semma semma																										
Non-anti-LGBT+ content	M A D A N FAN AH IRUPANGALOOO.....																										
Non-anti-LGBT+ content	Dude unga n.o thara kedaikuma																										
Non-anti-LGBT+ content	8925745362 call Chennai																										
Non-anti-LGBT+ content	Appo adikadi poringkapola																										
Non-anti-LGBT+ content	Plzzz don't say dii 🙏 respect must																										
Homophobic	3:10 ladyku pathil sollunga parpom...thavarana seyaluku muttu kodukka ninaipatu thavaru...																										
Non-anti-LGBT+ content	Acho antha akka rmba anbanavanga...avangala ipdi emathitingale broo																										
Non-anti-LGBT+ content	Intro la ivalavu nallavar maathiri solringa apa en transgender endu podu irukiringa 	 girl a interview paneka girl endaa poduringa illa thanae																									
Non-anti-LGBT+ content	Ithana naal sirichu sirichu aluthen unga video paathu inikku aana apdi ae maathitinga bhaa❤️ best ever video bhaa😭 ❤️ antha awareness kondu vantinga ponga ✨ all the best team ❣️																										
Non-anti-LGBT+ content	I will talk to u malini bro																										
Non-anti-LGBT+ content	Nice video bro....😀																										
Non-anti-LGBT+ content	Madras film rithvika mathiri irukanga super																										
Non-anti-LGBT+ content	Isssshhh apha ingaiyum vanthutingala da Samy																										
Non-anti-LGBT+ content	Super Anna	 Part 2 yappo varum																									
Non-anti-LGBT+ content	Iyarkaina ennanu theriyadhavangadhan idha edhirppanga.																										
Non-anti-LGBT+ content	ama ppu oru kodi ppu oru kodi ne paatha ama ppu oru kodi..																										
Non-anti-LGBT+ content	Superb bro unga videos ellam nallarukuu																										
Non-anti-LGBT+ content	Unakaguluku pudikum❤❤❤😇😇😇 Anbe sivam🥰🥰🥰🙏																										
Non-anti-LGBT+ content	Akka neenga romba nalla ierukganum																										
Non-anti-LGBT+ content	Evalam oru aalunu eva pettiya poduruggi																										
Non-anti-LGBT+ content	@gpbro  varenda koTha kundila irukka vanchara meena EtoKka																										
Non-anti-LGBT+ content	I	 I. Nice. Cellno																									
Non-anti-LGBT+ content	DANIEL LEO u can try me... hahaha... clown																										
Non-anti-LGBT+ content	Athuthaan illa ivanga hospital irunthu artificialah pethukurunga and antha kolanthaigalium ippdi valakuranga																										
Non-anti-LGBT+ content	Ne Yaruku poradha nu unga veetla ketu Sollu da...																										
Non-anti-LGBT+ content	thirunangai kalainjr vaitha peyar. unmaiyana anbu ullavargal thirunangaigal.																										
Non-anti-LGBT+ content	Kannu kalanguthu bro 😢																										
Non-anti-LGBT+ content	Nalla nadikiran pa vera leval																										
Non-anti-LGBT+ content	zoom panni paturukingge pole G....hahaha																										
Non-anti-LGBT+ content	Super 👌 akka❤️❤️																										
Non-anti-LGBT+ content	Neenga ithu varai suya punarchi pannunathey illaya.. aan punarchikku samamaana paavam suya punarchi.. aanaal neengal yen aan punarchiya mattum paavam nu solringa																										
Non-anti-LGBT+ content	All lives matter																										
Transphobic	SUPERSTAR VIJAY  ennaa paiyana thandi pethanga unna eppadi pethangalo appadi  iru ethuggu trans avara punda																										
Non-anti-LGBT+ content	@Ayy Ar  no dear, don't thing about that,nettu malaiyile nanaingiccutten bayangarama fivar maramatiri irunttatu.atan nalla paduttu tungitten.ippo OK.uyir pirintalum unai piriyata varam onru peravendum.atutan unmaiyana natpirku adaiyalam.i miss you so much, I love you baby. Why bro unga kuda chatpannikittu irukkum bote full temp agi moodagidutu.unga kitta appadi oru kanta sakti irukunu ninaikiren.velaiku kilambiyacca machi.																										
Non-anti-LGBT+ content	Theni, Aadu, Singam, ithu ellaam orina serkai iruku. Namba thaan aatha thappunu solrom																										
Non-anti-LGBT+ content	8:35 Goosebumps 💥																										
Non-anti-LGBT+ content	Bro kutty request part 1 part 2 nu prikathiga bra single video mattum poduga please bro																										
Non-anti-LGBT+ content	Bro nangalum srilanka than																										
Non-anti-LGBT+ content	Sis or bro vikragam nu bible soldrathu hindu madhatha pinpatraatha nu idha neenga public ah sollungale. Idha pesaama neenga homosexual pathi mattum pesurathu crt ah .neenga soldrathu niyayame illa bible la irukka ellathaum neenga follow pandringala idhu thappunnu soldringa .hetro sexual ah God creat pannirukangannu homosexual ah saathan ah create pannuna avanukku andha adhigaaram illa																										
Non-anti-LGBT+ content	Do u act like man																										
Non-anti-LGBT+ content	7. Ponnuka kuda pesa paya padarathu 90kids... 	  Ponnunga kuda Sexual feeling varulana avanka gay ag.. adaii...  kattika pora ponna thavara mathavankala sister ah nenaikaravankalum irukanda																									
Non-anti-LGBT+ content	Next level 🎉🔥																										
Non-anti-LGBT+ content	Super akka great sister🌹👍																										
Non-anti-LGBT+ content	yenaku ungala patha Bayama iruku...																										
Non-anti-LGBT+ content	Emma seting thala																										
Non-anti-LGBT+ content	Thayavu senju avangala prank  panathenga avangalukum manasu iruku bye bro																										
Non-anti-LGBT+ content	Video endla sama🔥🔥🔥																										
Non-anti-LGBT+ content	Andha thirunangai Akka ikku romba periya manasu																										
Non-anti-LGBT+ content	Bro Nan Enna solla🙏🙏🙏🙏🙏😭😭😭																										
Non-anti-LGBT+ content	Na ungla meet pannum malini pls																										
Non-anti-LGBT+ content	5:56 yarupa nee engirunthu vanthaaaa😅																										
Non-anti-LGBT+ content	Anna ethu natippa enna nu enakku thayriyala ana reyaly veea level i cannot control my tier 😣😣😣																										
Non-anti-LGBT+ content	Kettu kutti chevura pongada...																										
Non-anti-LGBT+ content	Vera level consapt bro																										
Non-anti-LGBT+ content	@Nawa Nawa   hi																										
Non-anti-LGBT+ content	Ohh kooti koduthuduva nariya experience pola. Nalla businessoo poda dei																										
Non-anti-LGBT+ content	Dei nan veetula ponna luv pandra sonnala serupala adipanga ithula nan engatha pana pora																										
Non-anti-LGBT+ content	@Sharan Rasappan  unaku theriyala pa avlo than virupathoda sex vachukum podhu eppdi case file pannuvanga																										
Non-anti-LGBT+ content	Part_2 eppa bro																										
Non-anti-LGBT+ content	+Ashuu Sayyed ,enna pa achi																										
Transphobic	Saniyanungala savadikanum ithungala intha Uzhagathula irukanum nu thevaiya illa																										
Transphobic	Indha thevdiya tholla thanga mudila yella train laum Eri eri picha edukudhunga.....																										
Non-anti-LGBT+ content	Hatts off akka 😍																										
Non-anti-LGBT+ content	@vaishnavan sundar  yep																										
Non-anti-LGBT+ content	Antha akka ku evelo oru anbu semmai akka																										
Non-anti-LGBT+ content	part 2 veraya ?? ena nadandhurukum 🤔🤔😥🤔																										
Non-anti-LGBT+ content	Enaku oru Hi sollunga Bro❤️❤️❤️																										
Non-anti-LGBT+ content	Thiru kuran.. naragam athu ithu endru karunaiyana kadavulai  moorganakukirathu... mathathai kondu manitha neyathai azhikaatheergal.																										
Non-anti-LGBT+ content	Anna uinmella great anna																										
Non-anti-LGBT+ content	3:15 ur speech is mass akka																										
Non-anti-LGBT+ content	Anbala Katti pudikiravangala vida sex feel a katti pudikiravanga than broo. .... Semma veruppu agum...... ... Kandippa jeikkanum bro																										
Non-anti-LGBT+ content	Ungalauku avlo karunai eruntha yen oru lebsian kuda sernthu oru kolanthaiya thathu adukaringa, nenga epaiyea kuda thathu adukalam																										
Non-anti-LGBT+ content	Nalla irupinga da neenga ellam																										
Non-anti-LGBT+ content	Ss dude apudi complete panniruindha super ah irukum																										
Non-anti-LGBT+ content	Bro waiting 😂😂👍👍																										
Non-anti-LGBT+ content	Akka you are great🙏🙏👍																										
Non-anti-LGBT+ content	Thanks pa 🙏🙏																										
Non-anti-LGBT+ content	Haaaaa haaaaaa sema ya sonneenga🤣🤣🤣🤣🤣🤣																										
Non-anti-LGBT+ content	Vara Laval thaliva niga yallarum enima Vara Laval prank pannuga  maja pannuga i am waiting ennum nariya prank Mariya valzka																										
Non-anti-LGBT+ content	dance panama pesu pappa																										
Non-anti-LGBT+ content	@sachu sachu  ungaluku therithu. Evanungaluku theriyutha																										
Non-anti-LGBT+ content	Antha akka nalla irupanga																										
Non-anti-LGBT+ content	Challa bhagaunthi Katha..																										
Non-anti-LGBT+ content	She is damn lool like a girl																										
Non-anti-LGBT+ content	@renga durai  ne than da vussu punda																										
Non-anti-LGBT+ content	Super bro 👌																										
Non-anti-LGBT+ content	Hi u number bro. Nanum thirunangai than																										
Non-anti-LGBT+ content	I'm waiting Anna																										
Non-anti-LGBT+ content	Bro intha maari ooty la panunga bro avanga reaction la epdi iruku nu paakala																										
Non-anti-LGBT+ content	very good video nanbaa																										
Non-anti-LGBT+ content	Avangalukku aal erukkanga																										
Non-anti-LGBT+ content	Kasta paduravangalukku sapadu thara neenga tha sir kadavul																										
Non-anti-LGBT+ content	Negal unga life unga virupapadi valunga..athu than magilchyai tharum																										
Non-anti-LGBT+ content	Romba azhagaga erukkirirgal																										
Non-anti-LGBT+ content	No words ♥️♥️♥️♥️																										
Non-anti-LGBT+ content	Romba alaga erukuga sis																										
Non-anti-LGBT+ content	Akka,ningge semme cute n alagu kaa..😘😘😘😘🤗🤗😘🤗😘🤗																										
Non-anti-LGBT+ content	Ungala mathri enak oru life partner venu kandipa 😭😭😭																										
Non-anti-LGBT+ content	Transgender title uh😒😑😑																										
Non-anti-LGBT+ content	I love u akka																										
Non-anti-LGBT+ content	Boring interview. I hit dislike.																										
Non-anti-LGBT+ content	Money kudukana odaney sabam kudukuranga.  . Oru naal na money lam ila nu sonathuku avanga ena paathu ' ne last varaikum love breakup aagi saguva nallavey iruka mata nu solitalunga . Aniku full ah mind upset.  .parents kuda namala ipdi sabam vida matanga.  . Kandavanga kitalam sabam vanga vendiruku																										
Homophobic	Ipdi ellarm kum panna...AIDS varatha...tha...broo																										
Non-anti-LGBT+ content	Yana bro singel tea pathu panrigala																										
Non-anti-LGBT+ content	Edhu 100%poi ethuku neenga picha yadukalam podava kattitu																										
Non-anti-LGBT+ content	Neeya naana namitha 3:24..... Yelaaa chanelaium pesuraaa																										
Non-anti-LGBT+ content	bro ninga entha ooru bro pinadi location nalla eruku bro																										
Non-anti-LGBT+ content	I am waiting																										
Non-anti-LGBT+ content	Indha video ku negative ah comment panna yarum satheyama mirugatha veda kevalama naaa indha society a nasam panna porambokka thaaaa iruppa																										
Homophobic	LGBT agree pandravanunga ellarum manangeta naynga																										
Non-anti-LGBT+ content	Unga partner kuda video podunga																										
Non-anti-LGBT+ content	Video pathi solla vathai illa anna orn nenisam allu thutan vara lavel ann																										
Non-anti-LGBT+ content	But athu maathire eh neraiya kastamaana visyangal nadanthiruku ean wallet pudingirukaanga athula iruntha kaasa eaduthittu thooki erinjaanga, oru vaati 20rs kuduthean kammi nu eanna mosama pesirukaanga,Public la eathanayoe thirunangai ka dress ah avuthu pottu kevalama nadakuraanga athuku eanna solla poreenga ?; Latha muniyan !																										
Non-anti-LGBT+ content	Semma bro love you so much																										
Non-anti-LGBT+ content	Amazing part 2 ku waiting. ...In part 2 rombave strong aa gay relationship pathi intha society la a itukka ellarukkum nalla oraikkiramathiri sollunga																										
Homophobic	Ipdila pesi pesi than Mel Nadu culture ah kondu vanthu Nadu nasama pogudu???? Oru anuku oru pen ithan nature.....																										
Non-anti-LGBT+ content	Super antha akka																										
Non-anti-LGBT+ content	Ponna pirantha aan																										
Non-anti-LGBT+ content	sollu da punda																										
Non-anti-LGBT+ content	Smart Subash dai punda mariyanna enna olarra punda																										
Non-anti-LGBT+ content	Ipdi oru channel na Vaal naal la paathathu Ila.. harts of guys... And intha video paatha aprm  Thirunangai avanga Mela oru Mariyathai vanthuruchu.. 🙏🙏 Nenga nalla irukanum Amma 🙏🙏👍👍																										
Non-anti-LGBT+ content	She looks gorgeous 😍																										
Non-anti-LGBT+ content	@El TIGER   school la padikalaya?																										
Non-anti-LGBT+ content	Sirf Pinjra nonsense video bloody nonsense video																										
Non-anti-LGBT+ content	indha vj thevidiya paiyan over acting pandran ..naai sunniya pudicchi oombunavan																										
Non-anti-LGBT+ content	Nala vanungunga ,apathan ipa easya thapu seiva																										
Non-anti-LGBT+ content	Hi bro one help																										
Non-anti-LGBT+ content	V HeArtS i didn't get u																										
Non-anti-LGBT+ content	Super bro 🙏																										
Non-anti-LGBT+ content	Yedukarathu picha athula gethu veraa																										
Non-anti-LGBT+ content	Ea pombala item illa ya... Call boys illaya... Avangalauku pudicha partner ha avanga choose panna urima irukku																										
Non-anti-LGBT+ content	Vera level anna																										
Non-anti-LGBT+ content	Love u bro super bro🔥🔥💛💥																										
Non-anti-LGBT+ content	Athu  Hats Muregesa 🤦🏽‍♂️																										
Non-anti-LGBT+ content	Nadippu vera level																										
Non-anti-LGBT+ content	Ava tee shirt la irukadha nallaa padinga. Nap kin nu varudhu...thevidiyaluga.																										
Non-anti-LGBT+ content	Evanun thiru nankai mathure Thane erukkan																										
Non-anti-LGBT+ content	Vera level bro congratulations 🌹🌹🌹 love you so much																										
Non-anti-LGBT+ content	Malni I like u r speech,  u guts ....ungalale mudinja neenge arasyal Thaliavi aaagamudyuma ? Oru podhu samoohathile yedhavdhu oru poruppalya irundhukatta mudyuma .apdi panni  kaatinge appo othukkuvom ... ungalale support pannuvom ??? Mudyuma																										
Non-anti-LGBT+ content	I like thirunangai people guys 💋❤❤❤																										
Non-anti-LGBT+ content	Evala petti Vera edukkuranka poda pulllungalaa																										
Non-anti-LGBT+ content	Namba jenam vedika pakkum eppadi than																										
Non-anti-LGBT+ content	Antha paiyan yaaru?😦																										
Non-anti-LGBT+ content	Sema bro I love it																										
Non-anti-LGBT+ content	Bro part 2 video enga bro plzzz  sollunga bro																										
Non-anti-LGBT+ content	Sama pa supar																										
Non-anti-LGBT+ content	Sharuk Sameer  good																										
Non-anti-LGBT+ content	Mani bro vara level acting bro sama🔥👌🏻																										
Non-anti-LGBT+ content	Varun ammavin kanavu , manakottai allaam urukkulainthuvittathu . varun ammavai pol etthanai payro entha ullagathill...manathu valikkerathu entha society yai nenaithu...																										
Non-anti-LGBT+ content	Andhe Ammavukku Oru Hats Off 	 Super Super																									
Non-anti-LGBT+ content	Alaga irukanga pa																										
Non-anti-LGBT+ content	Mithra neenga oru manusan aa erukira SAAMI 🙏🏻🙏🏻🙏🏻																										
Transphobic	Enaku oru doubt? neenga aambalaya pombalaya																										
Non-anti-LGBT+ content	@Anand Kumar  ethuku bala va oku***ka																										
Non-anti-LGBT+ content	Malini akka suppar 😍💪																										
Non-anti-LGBT+ content	@tamilansat arjun  m																										
Non-anti-LGBT+ content	Very emotional video bro....																										
Non-anti-LGBT+ content	Saudi Arabia Ku 500 ticket poduuu																										
Non-anti-LGBT+ content	intha video parkum podhu enaku alugai vandhuduchuu.... akka neenga nijamave great....																										
Non-anti-LGBT+ content	Indha video ka andha akka kaga I am subscribing ur channel anna kandipa koodiya seekaram unga channel ku financial ah support panuven idhu pola awareness ana vds post panunga anna																										
Non-anti-LGBT+ content	Love you too																										
Non-anti-LGBT+ content	Thambi are you gay																										
Non-anti-LGBT+ content	Bro really vera level kann kalangugiradhu idha pakurapo😭😭😍																										
Non-anti-LGBT+ content	Same I felt madam																										
Non-anti-LGBT+ content	Bro super 🙏🙏🙏																										
Non-anti-LGBT+ content	@rajeshs  nazha kelvi bro																										
Non-anti-LGBT+ content	Vera level bro																										
Non-anti-LGBT+ content	Enda prank prank nu ethayum vida mateengla...  Fulla scripted																										
Non-anti-LGBT+ content	I feel cry so sad I love you akka																										
Non-anti-LGBT+ content	@Parthaa   like pannaama iruppena																										
Non-anti-LGBT+ content	Semma bro nalla varuvinga																										
Non-anti-LGBT+ content	swetha k ,edhu pannalum thappu illaina,dress illama valiya vaa papom road la,summa vidurangala nu.																										
Non-anti-LGBT+ content	Unaku theriuma romba																										
Non-anti-LGBT+ content	Supper video 💕🙏																										
Non-anti-LGBT+ content	Yaruppa intha uthamaru																										
Non-anti-LGBT+ content	Hi hi Hi I'm Rishi																										
Non-anti-LGBT+ content	@jesus baby  Hi																										
Non-anti-LGBT+ content	All the best for your career. engala mari nirya brothers ungaluku irukanga sister.																										
Non-anti-LGBT+ content	Yenkita pesanavanga koota blind person dhaan																										
Non-anti-LGBT+ content	Avngla thapa pesura palakam poi amma nu kupudura palakam varanum bro iam waiting																										
Non-anti-LGBT+ content	malini unka padathila nan nadikalama																										
Non-anti-LGBT+ content	Tq bro 😁																										
Non-anti-LGBT+ content	Aluga vachudinga pongaa.. Kadaisila iladhavangaluku shappudu kuduradha eadhuku video la add pani erukinganu theriyala..but iladhavangaluku seiyanum ennam..rmba perusu. Hatsoff Guys. Yarne theriyadha manusangala kuda.. Uravu murai vachu kudpra nalla manusanga.. Transgenders.. Nalla video bro..subscribe pannitan..🤩																										
Non-anti-LGBT+ content	Solla mudiyathu unga love avanga love accept panna kuda vaipu eeuku																										
Non-anti-LGBT+ content	2:50  @@@@@ sema																										
Non-anti-LGBT+ content	Vera lvl bro ❤️																										
Non-anti-LGBT+ content	Ethuva Nala Ella part 2 varaya poda daii																										
Non-anti-LGBT+ content	im not against lgbt																										
Non-anti-LGBT+ content	Bro.. i like ur ❤️																										
Non-anti-LGBT+ content	Normal manisana iruntha poda mairu endutu po irupagka but I aval mari solugka romba irakeka kunam ullavagka																										
Non-anti-LGBT+ content	Bro enna aluga vittutiga  but akka really great I salute 🙋‍♂️																										
Non-anti-LGBT+ content	u look so beautiful sis																										
Non-anti-LGBT+ content	Sema bro Neega dance aatuganu sonathu sejaga paruga aathitha bro god																										
Non-anti-LGBT+ content	Bro super concept bro																										
Non-anti-LGBT+ content	@Ashwin Jack  Nanga urupadiya thanda irukom...ne 1st irukiyanu paru....enakennamo ne avanu thonuthu																										
Non-anti-LGBT+ content	HANDS OFF BROS																										
Non-anti-LGBT+ content	Avangeleaa neenga asinga paduthathingea...																										
Non-anti-LGBT+ content	Vera level malini neenga👌👏😂😂😂																										
Non-anti-LGBT+ content	nakeeran ungaluku Vera vela illaya?																										
Non-anti-LGBT+ content	Vera level bro😍😍😍😍																										
Homophobic	un appavo ammavo lgbt ya irundhirundalo illai un unarvugal madhiri anaivarum possitivagovo illai negativagovo future la marianal neengal punidhama ninaikra indha manidha sorry lgbt community eppidiuruvagum	 	 nammaku irukum indha vinodhamana against nature unarvugalukaga sooriyana matumo illa chandrana mattumey podbumnu sollamudiyathu thozhiye.....																								
Non-anti-LGBT+ content	Evalungda thoolai thaanga mudiyaleenga																										
Non-anti-LGBT+ content	Dai avanga pavam da kadaisila poi nu sonna epdi da irukkum athala yosingada																										
Non-anti-LGBT+ content	theru naggai Akka super Vera leval																										
Non-anti-LGBT+ content	iva oru mutta punnaku																										
Homophobic	Ulaga azhivuku muthal #pillayarsuzhi😠😡	 Kadaisila ஆண் பெண்  Iruvarukum மலடி பட்டம் தான்																									
Non-anti-LGBT+ content	8:35 to 8:50 Vera level like here😍😍😍😍																										
Non-anti-LGBT+ content	Semma Vera level ah panringa																										
Non-anti-LGBT+ content	Yar dha dislike panna duu 😏																										
Homophobic	swetha k ,en freedom naa enna venumnalum pannuvean ,unakenna nu solitu,pirantha meniya valiya vaa,pakalam.?																										
Non-anti-LGBT+ content	Akka love akka																										
Non-anti-LGBT+ content	Super anna nijama aluga  vanthu  vittathu anna 😂😂😂waiting for part 2 anna super keep rocking																										
Non-anti-LGBT+ content	Edhuku ellam guts veanum bro excellent job handsoff																										
Non-anti-LGBT+ content	@harihara subramani  r																										
Non-anti-LGBT+ content	Amezing movie ❤️💯																										
Non-anti-LGBT+ content	Vera level😊 congrats																										
Non-anti-LGBT+ content	Yoow appadiye saathukodi puzhira maari manasa puzhinjita yaa 🥺🥺🥺😭😭😭😭😫😫😫😫																										
Non-anti-LGBT+ content	Vera level ya ne																										
Non-anti-LGBT+ content	Mana sa thodu soluran																										
Non-anti-LGBT+ content	@sreekanth  well said bro..																										
Non-anti-LGBT+ content	Ella thirunagiyum smartphone  wait ah vachirukengalea																										
Homophobic	Vaai valiyadhan sapdanum, soothu valiyadhan sapduvenu sonna, sapdu........																										
Non-anti-LGBT+ content	Vera level antha akka eanthamari  eathuvarikum na patha ella sema																										
Homophobic	@Smart Subash  neengalam lesbian supporters ah???  Apo un pullainga kandipa gay and lesbian ah dha porakum...																										
Non-anti-LGBT+ content	Ommala thevdiya paiya,, onna mari kandavoli padiparivu illama YouTube use pannitu, cultural knowledge illama, arivu jeevi mari pesuna ellam maira tha pogum...																										
Non-anti-LGBT+ content	🥺 part 2 sekirama podunga																										
Non-anti-LGBT+ content	Unmai ma God bless you																										
Non-anti-LGBT+ content	Anna 100% tharamaana prank. Yaro muna pinna theriyaadhu andha feel pandra andha akkavoda manasu oru kooda porandha amma oru sister avangaloda lovekku equal, solla word illanaa. TMB team and hatsoff jai bro. ❤️❤️❤️																										
Homophobic	Asingkama itukku.....   inimel best frd endu kooda yarodaiyum nerungki palaka mudiyathu pola... aandava																										
Non-anti-LGBT+ content	I am sorry																										
Non-anti-LGBT+ content	Nega So beautiful cute allaki I love Sister																										
Non-anti-LGBT+ content	Ragu Ram nala ilana thooku matitu saavu...karuthu soldrenu elar vailayum vilatha																										
Non-anti-LGBT+ content	@Thiru Murugan  nee yaru mothella																										
Non-anti-LGBT+ content	Very good open spech																										
Non-anti-LGBT+ content	Dislike for your hype word transgender.. a**																										
Non-anti-LGBT+ content	gay fans like him																										
Non-anti-LGBT+ content	Ni homo va erthu ona hetrosex Kuda pilla pethuka sonna ni pethupiya?																										
Non-anti-LGBT+ content	Brother pls ellorume ninga sollatha panni soaru sapdala evlo thirunangai work panranga nanum tiffen kadai vachuruken renduperuku salri tharen sonthama ulaikren sapdren ni sollrathu mathiri orupothum kidaiyathu sir																										
Non-anti-LGBT+ content	Good try bro 😊																										
Non-anti-LGBT+ content	Bro unga name enna																										
Non-anti-LGBT+ content	Anna na rasipuram Anna nanum unga kuda prank Pa na lama anna																										
